PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2019-10-10 16:24:24,pessoal10,1,1,ILHA 4 (RASCUNHO) - RICOH_SP 5200,"Planilha VT.xlsx",DP-05,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,103kb,
2019-10-10 16:24:30,pessoal12,1,1,DP1 -Ricoh,"Etiqueta Arquivo.xls",WTS-18,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,542kb,
2019-10-10 16:24:42,pessoal9,1,1,ILHA 4 (RASCUNHO) - RICOH_SP 5200,"Email – Kethelym Mantovani – Outlook",WTS-18,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,332kb,
2019-10-10 16:24:45,pessoal11,1,1,DP1 -Ricoh,"RECIBO CARTAO VT VIGILANCIA.doc",DP10-PC,Letter,PCL6,,,NOT DUPLEX,GRAYSCALE,1250kb,
2019-10-10 16:25:05,financeiro12,1,1,ILHA 1 - RICOH_SP 5200,"GetFileAttachment",FINANCEIRO12,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,287kb,
2019-10-10 16:25:25,pessoal10,1,1,ILHA 4 (RASCUNHO) - RICOH_SP 5200,"Planilha VT.ods",DP-05,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,56kb,
2019-10-10 16:25:23,estagiariobalancet12,31,1,ILHA 1 - RICOH_SP 5200,"Crystal Reports ActiveX Designer - Rec02.rpt",WTS-17,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,750kb,
2019-10-10 16:25:27,financeiro12,1,1,ILHA 1 - RICOH_SP 5200,"GetFileAttachment",FINANCEIRO12,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,807kb,
2019-10-10 16:25:37,financeiro8,1,1,ILHA 1 - RICOH_SP 5200,"FINESTSYSTEM",GESTAOFIN-02,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,220kb,
2019-10-10 16:25:39,condominio23,1,1,ILHA 4 (RASCUNHO) - RICOH_SP 5200,"adelaide guidini 09.2019 boleto.pdf",WTS-17,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,407kb,
2019-10-10 16:25:39,financeiro8,1,1,ILHA 1 - RICOH_SP 5200,"FINESTSYSTEM",GESTAOFIN-02,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,433kb,
2019-10-10 16:25:39,gerente.financeiro,6,1,ILHA 1 - RICOH_SP 5200,"A_lanca_lst_44B2.php",FINANCEIRO-21,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,1755kb,
2019-10-10 16:25:48,financeiro11,1,1,ILHA 1 - RICOH_SP 5200,"about:blank",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,84kb,
2019-10-10 16:26:04,financeiro1,2,1,ILHA 1 - RICOH_SP 5200,"InTern et___B-a.nking____CaI:XA",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,252kb,
2019-10-10 16:26:06,financeiro4,1,2,ILHA 4 (RASCUNHO) - RICOH_SP 5200,"Snipping Tool Print Job",FINANCEIRO-05,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,26kb,
2019-10-10 16:26:10,suporte.comercial3,1,1,COMERCIAL - SANSUNG,"3370414e-59ac-423e-a071-2f4b9a18d0d5Formulario_para_Ordem_de_Servico_Pedra_Branca.xlsx",WTS-18,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,231kb,
2019-10-10 16:26:59,pessoal9,1,1,DP1 -Ricoh,"Email – Kethelym Mantovani – Outlook",WTS-18,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,250kb,
2019-10-10 16:27:01,financeiro11,1,1,ILHA 1 - RICOH_SP 5200,"I-n_te-rnEt B ank_ing CAIXA.pdf",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,264kb,
2019-10-10 16:27:05,financeiro21,1,1,ILHA 3 - RICOH_SP 5210,"Unicred - Internet Banking",GESTAOFIN-06,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,225kb,
2019-10-10 16:27:08,pessoal9,1,1,DP1 -Ricoh,"Email – Kethelym Mantovani – Outlook",WTS-18,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,250kb,
2019-10-10 16:27:18,suporte.comercial3,1,1,COMERCIAL - SANSUNG,"7b91878c-9164-46f7-8633-85d5473deea8Administracao_e_Gestao_Financeira_2019_pedra_branca.xlsx",WTS-18,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,208kb,
2019-10-10 16:27:54,coord.admoperacional,6,1,ILHA 4 (RASCUNHO) - RICOH_SP 5200,"GetFileAttachment",WTS-18,A4,PCL6,,,DUPLEX,GRAYSCALE,1048kb,
